timestamp,hour,day_of_week,is_weekend,weather_condition,north_count,south_count,east_count,west_count,total_vehicles,emergency_vehicle,bus_count,pedestrian_count,interval_seconds,north_count_norm,south_count_norm,east_count_norm,west_count_norm
2024-01-01 06:00:00,6,0,0,Clear,26,30,24,26,106,0,0,17,5,0.2736842105263158,0.375,0.36363636363636365,0.37142857142857144
2024-01-01 06:05:00,6,0,0,Clear,26,24,23,26,99,0,1,17,5,0.2736842105263158,0.3,0.3484848484848485,0.37142857142857144
2024-01-01 06:10:00,6,0,0,Clear,40,40,25,19,124,0,3,14,5,0.42105263157894735,0.5,0.3787878787878788,0.2714285714285714
2024-01-01 06:15:00,6,0,0,Clear,30,28,27,22,107,0,2,12,5,0.3157894736842105,0.35,0.4090909090909091,0.3142857142857143
2024-01-01 06:20:00,6,0,0,Clear,49,36,34,22,141,0,0,13,5,0.5157894736842106,0.45,0.5151515151515151,0.3142857142857143
2024-01-01 06:25:00,6,0,0,Clear,44,28,19,20,111,0,0,6,5,0.4631578947368421,0.35,0.2878787878787879,0.2857142857142857
2024-01-01 06:30:00,6,0,0,Clear,29,34,25,33,121,0,0,15,5,0.30526315789473685,0.425,0.3787878787878788,0.4714285714285714
2024-01-01 06:35:00,6,0,0,Clear,32,30,19,24,105,0,3,16,5,0.3368421052631579,0.375,0.2878787878787879,0.34285714285714286
2024-01-01 06:40:00,6,0,0,Clear,46,39,24,29,138,0,0,11,5,0.4842105263157895,0.4875,0.36363636363636365,0.4142857142857143
2024-01-01 06:45:00,6,0,0,Clear,51,32,29,27,139,0,0,14,5,0.5368421052631579,0.4,0.4393939393939394,0.38571428571428573
2024-01-01 06:50:00,6,0,0,Clear,46,37,29,33,145,0,2,17,5,0.4842105263157895,0.4625,0.4393939393939394,0.4714285714285714
2024-01-01 06:55:00,6,0,0,Clear,37,29,21,35,122,0,0,7,5,0.3894736842105263,0.3625,0.3181818181818182,0.5
2024-01-01 07:00:00,7,0,0,Clear,90,65,61,54,270,0,0,29,5,0.9473684210526315,0.8125,0.9242424242424242,0.7714285714285715
2024-01-01 07:05:00,7,0,0,Clear,78,77,48,55,258,0,0,23,5,0.8210526315789474,0.9625,0.7272727272727273,0.7857142857142857
2024-01-01 07:10:00,7,0,0,Clear,73,69,61,57,260,0,0,23,5,0.7684210526315789,0.8625,0.9242424242424242,0.8142857142857143
2024-01-01 07:15:00,7,0,0,Clear,94,65,64,55,278,0,0,21,5,0.9894736842105263,0.8125,0.9696969696969697,0.7857142857142857
2024-01-01 07:20:00,7,0,0,Clear,81,65,65,68,279,0,0,30,5,0.8526315789473684,0.8125,0.9848484848484849,0.9714285714285714
2024-01-01 07:25:00,7,0,0,Clear,81,69,55,53,258,0,0,17,5,0.8526315789473684,0.8625,0.8333333333333334,0.7571428571428571
2024-01-01 07:30:00,7,0,0,Clear,93,75,50,69,287,0,3,20,5,0.9789473684210527,0.9375,0.7575757575757576,0.9857142857142858
2024-01-01 07:35:00,7,0,0,Clear,86,79,61,58,284,0,0,21,5,0.9052631578947369,0.9875,0.9242424242424242,0.8285714285714286
2024-01-01 07:40:00,7,0,0,Clear,82,80,59,66,287,0,0,22,5,0.8631578947368421,1.0,0.8939393939393939,0.9428571428571428
2024-01-01 07:45:00,7,0,0,Clear,72,70,48,70,260,0,0,15,5,0.7578947368421053,0.875,0.7272727272727273,1.0
2024-01-01 07:50:00,7,0,0,Clear,92,80,49,59,280,0,2,17,5,0.968421052631579,1.0,0.7424242424242424,0.8428571428571429
2024-01-01 07:55:00,7,0,0,Clear,77,68,63,58,266,0,0,30,5,0.8105263157894737,0.85,0.9545454545454546,0.8285714285714286
2024-01-01 08:00:00,8,0,0,Clear,95,75,61,58,289,0,0,26,5,1.0,0.9375,0.9242424242424242,0.8285714285714286
2024-01-01 08:05:00,8,0,0,Clear,83,74,49,55,261,0,0,18,5,0.8736842105263158,0.925,0.7424242424242424,0.7857142857142857
2024-01-01 08:10:00,8,0,0,Clear,76,66,65,66,273,0,3,22,5,0.8,0.825,0.9848484848484849,0.9428571428571428
2024-01-01 08:15:00,8,0,0,Clear,84,77,51,53,265,0,0,15,5,0.8842105263157894,0.9625,0.7727272727272727,0.7571428571428571
2024-01-01 08:20:00,8,0,0,Clear,94,67,53,65,279,0,3,16,5,0.9894736842105263,0.8375,0.803030303030303,0.9285714285714286
2024-01-01 08:25:00,8,0,0,Clear,82,60,60,60,262,0,0,24,5,0.8631578947368421,0.75,0.9090909090909091,0.8571428571428571
